feature,mean_abs_shap,rank
max_f102,0.08075945,1
max_f155,0.054783657,2
max_f127,0.040470656,3
max_f157,0.034370046,4
mean_f056,0.03428701,5
mean_f172,0.032136377,6
max_f172,0.024389302,7
mean_f018,0.023094706,8
mean_f001,0.02258965,9
mean_f004,0.022481889,10
max_f061,0.020271612,11
last_f040,0.018260142,12
max_f008,0.016825793,13
max_f101,0.016038392,14
mean_f042,0.014724196,15
mean_f040,0.014423724,16
std_f073,0.013397967,17
max_f146,0.01334737,18
max_f173,0.013072822,19
mean_f036,0.012904894,20
max_f164,0.01193678,21
max_f170,0.011566746,22
std_f160,0.011559768,23
max_f006,0.011493467,24
mean_f010,0.0114186695,25
mean_f155,0.011163138,26
mean_f174,0.009871953,27
max_f050,0.00976574,28
max_f129,0.00975722,29
last_f175,0.009751284,30
mean_f175,0.0096512195,31
max_f160,0.009450019,32
mean_f138,0.009448498,33
max_f018,0.009269626,34
last_f003,0.008648769,35
mean_f066,0.008530629,36
max_f175,0.008233743,37
mean_f163,0.008118949,38
last_f087,0.008061478,39
max_f104,0.00795246,40
last_f018,0.007882263,41
mean_f005,0.007746354,42
max_f003,0.007561724,43
max_f147,0.007518439,44
last_f021,0.0073821535,45
max_f161,0.0071643637,46
mean_f031,0.0068814545,47
max_f108,0.006732084,48
mean_f009,0.0066969483,49
mean_f017,0.0064428225,50
mean_f021,0.006347228,51
max_f009,0.0062523712,52
mean_f087,0.0061992193,53
std_f016,0.00604334,54
last_f024,0.0059907963,55
max_f025,0.0058701024,56
max_f007,0.00584014,57
std_f006,0.0057240687,58
mean_f013,0.005409352,59
max_f019,0.0054020653,60
mean_f002,0.005400752,61
mean_f084,0.0053982656,62
mean_f019,0.0053873532,63
max_f174,0.005369769,64
mean_f164,0.0053017708,65
max_f097,0.0052663353,66
max_f039,0.0051828697,67
mean_f037,0.0050453884,68
max_f156,0.005040993,69
mean_f000,0.005030267,70
mean_f014,0.005022746,71
max_f126,0.0049831625,72
max_f169,0.0049326373,73
max_f040,0.0048738304,74
max_f026,0.004854024,75
max_f093,0.0048181894,76
max_f165,0.004779688,77
max_f158,0.0046319934,78
max_f103,0.0046171932,79
mean_f016,0.0045856177,80
mean_f007,0.0045664557,81
std_f029,0.004525037,82
last_f043,0.004492661,83
std_f172,0.0044636466,84
max_f115,0.0044582454,85
max_f038,0.004383298,86
mean_f162,0.004343786,87
max_f138,0.0042435094,88
mean_f140,0.00417082,89
mean_f050,0.004090527,90
max_f089,0.0040516844,91
mean_f006,0.0040503736,92
mean_f032,0.0039945496,93
max_f049,0.003940748,94
mean_f011,0.003883833,95
mean_f096,0.0037364576,96
std_f063,0.0037332785,97
mean_f060,0.0036549282,98
max_f080,0.003542543,99
std_f156,0.0034910087,100
std_f097,0.00347271,101
max_f015,0.0034218982,102
mean_f003,0.003356101,103
mean_f169,0.0033083074,104
mean_f080,0.0032608768,105
mean_f067,0.003255433,106
mean_f015,0.0032524008,107
max_f131,0.0032013159,108
mean_f076,0.00318522,109
max_f106,0.003185195,110
mean_f058,0.0031684875,111
max_f094,0.0031669901,112
mean_f165,0.0031395287,113
max_f163,0.0030983228,114
mean_f152,0.0030576098,115
max_f021,0.002990643,116
std_f051,0.002964133,117
max_f000,0.0029612167,118
mean_f109,0.0029503552,119
max_f065,0.0029419642,120
mean_f094,0.002922452,121
mean_f170,0.0029219764,122
std_f065,0.0028944886,123
last_f074,0.0028397054,124
last_f029,0.0027489099,125
max_f028,0.0027225935,126
max_f005,0.002558248,127
mean_f041,0.0025558257,128
std_f142,0.002498602,129
max_f029,0.0024867945,130
max_f119,0.0024860152,131
mean_f171,0.0024754698,132
last_f083,0.002455486,133
max_f027,0.0024449439,134
mean_f070,0.0024382314,135
max_f153,0.002402203,136
max_f030,0.002380899,137
max_f159,0.0023744819,138
std_f064,0.0023459538,139
std_f042,0.0022963495,140
max_f060,0.002260776,141
mean_f028,0.0022569532,142
mean_f054,0.002241979,143
max_f057,0.0022403747,144
max_f171,0.0022332284,145
std_f060,0.002204512,146
mean_f012,0.0021887186,147
std_f057,0.002162751,148
max_f063,0.0021323995,149
mean_f020,0.0021269496,150
mean_f168,0.0021164822,151
max_f022,0.0020677925,152
last_f073,0.0020353037,153
mean_f075,0.0020269752,154
mean_f008,0.002008031,155
mean_f022,0.001993761,156
max_f096,0.0019804558,157
std_f059,0.0019722357,158
std_f102,0.001952459,159
max_f023,0.0019503775,160
max_f168,0.0019491268,161
mean_f043,0.0019400776,162
mean_f044,0.0018781531,163
std_f002,0.0018168669,164
last_f015,0.0018127906,165
max_f098,0.0017929546,166
std_f061,0.0017900069,167
mean_f158,0.0017713491,168
mean_f030,0.0017384852,169
max_f145,0.0017310815,170
mean_f068,0.0017092661,171
mean_f157,0.0016994094,172
max_f137,0.0016766759,173
mean_f071,0.001631265,174
last_f025,0.0016265383,175
std_f112,0.0016101879,176
std_f067,0.0016053843,177
last_f013,0.001585452,178
last_f007,0.0015369267,179
max_f043,0.0015273226,180
mean_f085,0.001484163,181
std_f163,0.0014801096,182
max_f116,0.0014545476,183
max_f041,0.0014518409,184
mean_f159,0.0014420394,185
last_f017,0.0014400521,186
mean_f027,0.0014382784,187
mean_f049,0.0014323785,188
mean_f173,0.001417646,189
std_f044,0.0014100879,190
last_f163,0.0014027624,191
std_f168,0.0013722865,192
max_f128,0.0013599206,193
mean_f150,0.0013564236,194
max_f017,0.0013512452,195
last_f002,0.0013491431,196
mean_f074,0.0013420434,197
std_f036,0.0013348571,198
mean_f057,0.0013129377,199
mean_f167,0.0012915984,200
max_f058,0.0012874301,201
mean_f035,0.0012822192,202
last_f156,0.0012683369,203
max_f111,0.0012647018,204
mean_f063,0.0012632301,205
std_f145,0.0012602301,206
max_f064,0.0012478448,207
mean_f161,0.0012366171,208
mean_f142,0.0012332489,209
std_f155,0.0012192233,210
max_f167,0.0012127596,211
std_f071,0.0011899669,212
max_f130,0.0011893458,213
mean_f098,0.0011496813,214
std_f027,0.0011369612,215
mean_f154,0.0011337339,216
std_f159,0.0011231523,217
last_f039,0.0011192942,218
mean_f045,0.0011109142,219
max_f109,0.0011032508,220
std_f175,0.0010952507,221
last_f008,0.0010684867,222
last_f030,0.0010680486,223
std_f164,0.001037518,224
std_f095,0.0010339449,225
max_f088,0.0010335562,226
std_f034,0.0010334591,227
mean_f160,0.0010188492,228
std_f028,0.0010049368,229
std_f158,0.0009982806,230
max_f014,0.0009913042,231
std_f049,0.0009780593,232
std_f115,0.00097343104,233
std_f007,0.00097305165,234
max_f072,0.00095286383,235
max_f047,0.00094163406,236
max_f016,0.0009377346,237
max_f123,0.00093007897,238
std_f148,0.00092640845,239
std_f157,0.0009195815,240
max_f107,0.0009179757,241
std_f090,0.00091737584,242
mean_f083,0.00091267517,243
last_f159,0.0009103512,244
mean_f125,0.0009021656,245
mean_f105,0.00088815804,246
std_f113,0.0008878707,247
max_f002,0.00087669346,248
last_f066,0.00087572436,249
std_f011,0.00085821346,250
mean_f039,0.0008526919,251
max_f092,0.0008474999,252
last_f042,0.00084444333,253
std_f110,0.0008437674,254
mean_f166,0.0008362322,255
mean_f023,0.0008312819,256
std_f023,0.0008300323,257
max_f105,0.0008250035,258
max_f095,0.00082299457,259
std_f119,0.0008026839,260
max_f144,0.00079585187,261
max_f062,0.0007880375,262
last_f016,0.0007844663,263
mean_f059,0.00078370806,264
mean_f101,0.00078213465,265
max_f162,0.00077615597,266
max_f110,0.00077611825,267
std_f100,0.00077080727,268
mean_f102,0.0007552875,269
mean_f091,0.00075431913,270
std_f171,0.0007372743,271
max_f077,0.00073551165,272
mean_f144,0.0007128828,273
std_f161,0.0007090224,274
mean_f064,0.00070642796,275
std_f018,0.00070004567,276
mean_f078,0.00069736416,277
last_f080,0.0006970022,278
mean_f062,0.0006883597,279
last_f172,0.0006751003,280
max_f045,0.00066797115,281
last_f077,0.0006675806,282
std_f081,0.00066174136,283
last_f174,0.00065501453,284
mean_f069,0.00064612244,285
mean_f090,0.00064572395,286
mean_f026,0.0006447829,287
last_f023,0.00064331025,288
std_f085,0.0006419578,289
mean_f038,0.00063848955,290
last_f068,0.0006303843,291
mean_f108,0.0006300848,292
mean_f088,0.0006238636,293
max_f150,0.00062273757,294
std_f013,0.0006222385,295
std_f101,0.00061889325,296
max_f091,0.00061603525,297
last_f086,0.0006157423,298
std_f166,0.000609471,299
max_f044,0.00060677266,300
max_f011,0.0006064867,301
max_f099,0.0006049045,302
mean_f132,0.00060117716,303
std_f072,0.00059453375,304
std_f092,0.00058545626,305
std_f004,0.0005843029,306
last_f157,0.0005770962,307
std_f048,0.0005704632,308
std_f099,0.000570461,309
mean_f046,0.0005669769,310
std_f026,0.0005664021,311
std_f107,0.00056510145,312
max_f124,0.00056422054,313
last_f081,0.00055448414,314
std_f054,0.0005523697,315
mean_f065,0.0005472134,316
mean_f103,0.0005342213,317
std_f019,0.0005279952,318
max_f141,0.00052421715,319
last_f031,0.0005228252,320
mean_f081,0.0005137914,321
mean_f148,0.00051346887,322
last_f158,0.0005134608,323
last_f170,0.0005088656,324
std_f104,0.0005080629,325
std_f045,0.0005018298,326
max_f032,0.00049672555,327
mean_f097,0.0004875455,328
mean_f089,0.00047878773,329
mean_f093,0.00047237417,330
mean_f047,0.0004695982,331
last_f033,0.00046900474,332
mean_f061,0.00046897467,333
std_f162,0.0004672084,334
last_f005,0.00046600745,335
last_f075,0.00046500037,336
std_f001,0.00046455034,337
mean_f095,0.0004624483,338
last_f038,0.00046110622,339
max_f090,0.00045664582,340
std_f126,0.00044962665,341
mean_f104,0.00044896998,342
mean_f025,0.00043897834,343
mean_f055,0.00043737135,344
max_f166,0.00043648423,345
std_f070,0.0004352492,346
max_f120,0.0004314216,347
std_f024,0.00042531508,348
max_f004,0.00042080725,349
std_f170,0.0004106298,350
std_f003,0.00040779205,351
std_f173,0.00040553536,352
last_f171,0.00040119985,353
max_f117,0.00040078565,354
mean_f086,0.00039935697,355
max_f113,0.00039847346,356
last_f162,0.00039531733,357
mean_f156,0.00039301213,358
std_f021,0.00038819227,359
max_f054,0.00038373837,360
last_f084,0.00038369838,361
mean_f146,0.00038220582,362
last_f010,0.0003816887,363
std_f037,0.00037733777,364
last_f173,0.00037507506,365
max_f074,0.00037294687,366
std_f032,0.00036622176,367
std_f140,0.00036455496,368
std_f088,0.00035713846,369
mean_f052,0.00035494092,370
std_f055,0.00035337883,371
max_f013,0.00034471683,372
mean_f107,0.00034043659,373
max_f046,0.00033945445,374
max_f143,0.00033814425,375
max_f001,0.00033753202,376
std_f012,0.00033742018,377
std_f174,0.00033688755,378
max_f084,0.00033490706,379
max_f083,0.00033353834,380
std_f008,0.0003327434,381
last_f169,0.00032993229,382
max_f059,0.00032953403,383
max_f121,0.00032870757,384
max_f152,0.00032772723,385
last_f036,0.00032598496,386
mean_f100,0.00032532908,387
std_f080,0.00032082625,388
last_f020,0.0003160728,389
std_f165,0.00031440906,390
mean_f136,0.0003057749,391
max_f100,0.0003038027,392
std_f077,0.00030374623,393
max_f118,0.0002972157,394
max_f075,0.0002948607,395
last_f166,0.0002911862,396
std_f066,0.00029049706,397
std_f167,0.0002899534,398
mean_f153,0.00028788394,399
max_f135,0.00028610602,400
mean_f147,0.0002824086,401
last_f026,0.00028201903,402
last_f078,0.00027830462,403
std_f014,0.00027235103,404
std_f093,0.00027056836,405
mean_f114,0.00027049243,406
last_f009,0.00026801688,407
std_f053,0.0002666608,408
last_f014,0.00026511383,409
std_f005,0.00026132798,410
max_f048,0.0002592284,411
max_f020,0.00025509193,412
std_f030,0.0002534908,413
std_f033,0.00025319736,414
max_f140,0.00025033913,415
std_f010,0.00024940664,416
std_f079,0.00024841094,417
max_f125,0.00024778026,418
max_f148,0.00024552934,419
mean_f053,0.00023436322,420
last_f082,0.00022645516,421
last_f076,0.00022411812,422
std_f009,0.00022343664,423
mean_f092,0.00022332929,424
std_f075,0.00022297655,425
max_f010,0.00022239075,426
mean_f151,0.00021968025,427
mean_f145,0.00021853582,428
last_f001,0.0002156473,429
last_f168,0.00021389518,430
std_f153,0.00021309097,431
std_f040,0.00021308845,432
last_f019,0.00021303302,433
max_f031,0.0002111407,434
std_f056,0.00020581105,435
std_f000,0.00020061075,436
last_f160,0.00020029528,437
mean_f137,0.00019710118,438
max_f149,0.00019438328,439
mean_f082,0.00018645416,440
std_f050,0.00018396457,441
mean_f139,0.00018316705,442
max_f114,0.00018131713,443
std_f109,0.00018088041,444
last_f011,0.00017896463,445
std_f121,0.00017853527,446
std_f041,0.0001778141,447
std_f035,0.00017590098,448
std_f089,0.00017557997,449
mean_f149,0.00017534995,450
std_f141,0.00017491645,451
mean_f051,0.00017441064,452
std_f094,0.00017178779,453
max_f081,0.00017156766,454
std_f022,0.0001715419,455
std_f114,0.00017075748,456
last_f041,0.0001691585,457
max_f136,0.00016910535,458
std_f084,0.00016905792,459
max_f051,0.00016864786,460
max_f055,0.00016832561,461
last_f085,0.00016680747,462
std_f087,0.000162183,463
max_f066,0.0001602782,464
std_f108,0.00015993223,465
last_f022,0.00015912107,466
mean_f106,0.0001530637,467
std_f062,0.00015159858,468
mean_f112,0.0001512576,469
mean_f033,0.00014901425,470
std_f043,0.00014494835,471
mean_f128,0.00014415164,472
max_f139,0.00014070435,473
std_f068,0.00013934114,474
max_f034,0.00013880648,475
std_f017,0.00013767542,476
std_f122,0.0001340715,477
max_f134,0.00013398468,478
std_f074,0.00013351507,479
last_f167,0.00013302795,480
std_f117,0.00013290593,481
std_f038,0.00013069589,482
last_f028,0.00013004648,483
std_f111,0.0001246903,484
max_f036,0.00012410765,485
std_f078,0.00012223229,486
max_f086,0.00012165608,487
mean_f141,0.000119831384,488
last_f133,0.000117864474,489
std_f086,0.00011640255,490
mean_f117,0.00011322968,491
mean_f143,0.0001114473,492
last_f069,0.00011092122,493
mean_f072,0.00010992232,494
last_f027,0.00010909966,495
last_f067,0.000109086126,496
max_f122,0.00010884104,497
std_f058,0.000108516615,498
std_f031,0.00010738315,499
std_f020,0.00010696127,500
last_f004,0.000106685606,501
last_f000,0.00010584163,502
std_f025,0.00010570611,503
mean_f077,0.000103484024,504
last_f155,0.00010235935,505
mean_f048,0.00010174685,506
mean_f073,0.00010070318,507
max_f133,9.729374e-05,508
std_f134,9.682805e-05,509
std_f132,9.681512e-05,510
max_f085,9.653981e-05,511
std_f047,9.642109e-05,512
std_f133,9.4782925e-05,513
std_f098,9.3324146e-05,514
mean_f124,9.30961e-05,515
last_f035,9.209158e-05,516
mean_f134,9.189154e-05,517
last_f109,9.056506e-05,518
std_f129,9.0106165e-05,519
mean_f111,8.827649e-05,520
std_f169,8.6901884e-05,521
mean_f099,8.59279e-05,522
mean_f129,8.075759e-05,523
std_f076,7.911415e-05,524
last_f147,7.727675e-05,525
last_f032,7.639031e-05,526
max_f076,7.336222e-05,527
max_f056,7.19098e-05,528
std_f150,7.148706e-05,529
max_f053,7.015426e-05,530
std_f154,6.918047e-05,531
std_f103,6.846983e-05,532
last_f079,6.777763e-05,533
last_f060,6.618998e-05,534
std_f116,6.541367e-05,535
std_f083,6.4154025e-05,536
max_f112,6.35634e-05,537
last_f071,6.303283e-05,538
max_f012,6.2812716e-05,539
max_f037,6.0190905e-05,540
last_f165,5.8632515e-05,541
last_f161,5.740195e-05,542
std_f052,5.6262947e-05,543
std_f147,5.536053e-05,544
last_f148,5.474378e-05,545
last_f034,5.4439806e-05,546
max_f142,5.4413507e-05,547
std_f130,5.425898e-05,548
std_f135,5.3844426e-05,549
last_f055,5.3711414e-05,550
mean_f110,5.3532312e-05,551
last_f113,5.3291962e-05,552
last_f136,5.3161675e-05,553
std_f046,5.2558782e-05,554
std_f091,5.1370647e-05,555
std_f096,5.0116894e-05,556
mean_f135,5.0104714e-05,557
std_f143,4.9994043e-05,558
last_f054,4.8853588e-05,559
max_f033,4.408447e-05,560
std_f082,4.175796e-05,561
mean_f116,4.1424388e-05,562
std_f039,3.988045e-05,563
last_f146,3.8068833e-05,564
last_f164,3.744682e-05,565
last_f108,3.6761907e-05,566
std_f123,3.588766e-05,567
std_f128,3.5192825e-05,568
last_f089,3.4728702e-05,569
std_f137,3.4212488e-05,570
mean_f133,3.3504362e-05,571
max_f024,3.3356297e-05,572
std_f120,3.0978616e-05,573
std_f149,3.075402e-05,574
last_f149,2.9860414e-05,575
max_f151,2.9850462e-05,576
mean_f123,2.9020703e-05,577
mean_f115,2.8270166e-05,578
max_f082,2.823492e-05,579
std_f151,2.7056902e-05,580
std_f139,2.5833318e-05,581
mean_f034,2.3921897e-05,582
last_f053,2.3508632e-05,583
last_f138,2.3490065e-05,584
last_f135,2.2545515e-05,585
last_f045,2.2155851e-05,586
last_f104,2.1959044e-05,587
last_f106,2.1116242e-05,588
std_f146,2.084713e-05,589
last_f119,2.0684418e-05,590
last_f100,2.00125e-05,591
last_f124,1.9926314e-05,592
std_f138,1.9241357e-05,593
last_f037,1.8956365e-05,594
last_f061,1.8683526e-05,595
std_f015,1.7477818e-05,596
mean_f126,1.6930282e-05,597
last_f134,1.582869e-05,598
last_f049,1.5815576e-05,599
last_f048,1.578948e-05,600
last_f141,1.569436e-05,601
std_f105,1.5655045e-05,602
max_f042,1.5408654e-05,603
last_f139,1.4797091e-05,604
last_f151,1.4533284e-05,605
last_f056,1.4144376e-05,606
last_f129,1.4089644e-05,607
std_f136,1.271806e-05,608
max_f052,1.24094895e-05,609
last_f062,1.2024629e-05,610
last_f118,1.1976458e-05,611
last_f142,1.1942848e-05,612
last_f093,1.1861542e-05,613
last_f051,1.1714922e-05,614
last_f143,1.148241e-05,615
last_f047,1.1285235e-05,616
last_f110,1.0832338e-05,617
last_f094,1.0332769e-05,618
last_f096,1.0247561e-05,619
last_f121,9.220085e-06,620
std_f152,9.191984e-06,621
last_f115,8.420647e-06,622
mean_f130,8.310518e-06,623
last_f072,7.665881e-06,624
last_f140,6.7273045e-06,625
mean_f121,6.7076967e-06,626
last_f123,6.681347e-06,627
std_f124,6.666835e-06,628
std_f125,6.4803457e-06,629
last_f012,6.229211e-06,630
mean_f029,6.022883e-06,631
std_f069,5.8486435e-06,632
last_f150,5.7310644e-06,633
last_f006,5.628953e-06,634
last_f120,5.4520137e-06,635
last_f145,5.2572454e-06,636
last_f052,5.0736076e-06,637
mean_f120,4.9662967e-06,638
last_f137,4.2749375e-06,639
last_f111,4.160277e-06,640
last_f130,4.0717728e-06,641
last_f131,4.054739e-06,642
last_f059,3.576509e-06,643
last_f144,3.55985e-06,644
mean_f122,3.32291e-06,645
last_f153,2.9417804e-06,646
last_f044,2.839178e-06,647
std_f144,2.7291544e-06,648
last_f128,2.6528153e-06,649
std_f118,2.580436e-06,650
mean_f118,2.5256738e-06,651
last_f046,2.4795186e-06,652
last_f065,2.455585e-06,653
last_f114,2.2991778e-06,654
mean_f127,2.285028e-06,655
last_f126,1.930154e-06,656
last_f116,1.8816758e-06,657
last_f058,1.8622738e-06,658
last_f117,1.7025683e-06,659
mean_f131,1.6983477e-06,660
last_f057,1.4822817e-06,661
mean_f119,1.2275802e-06,662
last_f105,1.0665266e-06,663
max_f087,1.0339858e-06,664
last_f102,9.893841e-07,665
last_f050,7.9385774e-07,666
last_f070,6.7480784e-07,667
std_f106,6.70252e-07,668
last_f064,5.218604e-07,669
last_f152,4.1643068e-07,670
mean_f113,3.355067e-07,671
max_f132,2.8569195e-07,672
last_f127,2.2936695e-07,673
last_f112,2.1685229e-07,674
last_f107,1.8546955e-07,675
last_f132,1.5608585e-07,676
last_f063,1.1634196e-07,677
last_f125,8.750986e-08,678
last_f092,7.1091314e-08,679
std_f127,6.218006e-08,680
last_f098,4.5698737e-08,681
last_f122,1.9884848e-08,682
mean_f079,0.0,683
last_f101,0.0,684
last_f103,0.0,685
max_f035,0.0,686
max_f079,0.0,687
max_f078,0.0,688
std_f131,0.0,689
max_f154,0.0,690
max_f067,0.0,691
last_f154,0.0,692
max_f069,0.0,693
max_f068,0.0,694
max_f073,0.0,695
max_f070,0.0,696
mean_f024,0.0,697
max_f071,0.0,698
last_f090,0.0,699
last_f091,0.0,700
last_f095,0.0,701
last_f088,0.0,702
last_f097,0.0,703
last_f099,0.0,704
